Id,Bound
0,1
1,1
2,0
3,1
4,0
5,0
6,0
7,1
8,1
9,0
10,0
11,0
12,0
13,1
14,0
15,0
16,0
17,1
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,1
31,1
32,1
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,1
42,0
43,0
44,0
45,0
46,1
47,0
48,0
49,0
50,0
51,1
52,0
53,1
54,0
55,0
56,0
57,0
58,1
59,0
60,1
61,0
62,0
63,1
64,0
65,1
66,0
67,0
68,0
69,0
70,0
71,0
72,1
73,1
74,0
75,0
76,0
77,1
78,0
79,0
80,0
81,1
82,0
83,0
84,1
85,0
86,0
87,0
88,0
89,1
90,0
91,1
92,0
93,0
94,0
95,1
96,0
97,0
98,0
99,0
100,0
101,1
102,0
103,0
104,1
105,0
106,0
107,0
108,0
109,0
110,0
111,1
112,1
113,0
114,1
115,0
116,0
117,0
118,0
119,1
120,0
121,0
122,0
123,0
124,0
125,1
126,1
127,1
128,0
129,0
130,0
131,1
132,1
133,0
134,0
135,0
136,1
137,0
138,0
139,0
140,1
141,0
142,0
143,1
144,0
145,1
146,0
147,0
148,0
149,1
150,1
151,0
152,0
153,0
154,1
155,0
156,0
157,0
158,0
159,0
160,0
161,1
162,1
163,1
164,0
165,0
166,1
167,1
168,0
169,0
170,1
171,0
172,0
173,1
174,1
175,1
176,0
177,0
178,1
179,1
180,1
181,0
182,0
183,0
184,0
185,0
186,0
187,0
188,0
189,0
190,0
191,0
192,0
193,1
194,0
195,1
196,1
197,0
198,0
199,0
200,0
201,0
202,0
203,1
204,0
205,0
206,0
207,1
208,0
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,1
219,0
220,1
221,0
222,0
223,0
224,0
225,1
226,0
227,0
228,1
229,1
230,0
231,0
232,0
233,1
234,0
235,1
236,1
237,0
238,0
239,1
240,1
241,0
242,1
243,0
244,0
245,0
246,1
247,0
248,0
249,0
250,1
251,0
252,0
253,1
254,1
255,0
256,1
257,1
258,0
259,0
260,0
261,0
262,1
263,0
264,1
265,0
266,0
267,0
268,0
269,0
270,0
271,0
272,0
273,0
274,1
275,1
276,1
277,0
278,0
279,1
280,1
281,0
282,1
283,1
284,0
285,0
286,0
287,1
288,1
289,1
290,0
291,0
292,0
293,1
294,0
295,0
296,0
297,0
298,1
299,0
300,0
301,0
302,0
303,0
304,1
305,0
306,0
307,1
308,0
309,0
310,0
311,0
312,1
313,0
314,0
315,0
316,0
317,0
318,0
319,0
320,1
321,1
322,0
323,0
324,0
325,0
326,0
327,0
328,0
329,0
330,0
331,0
332,0
333,1
334,1
335,0
336,0
337,0
338,0
339,0
340,0
341,0
342,0
343,1
344,0
345,1
346,0
347,0
348,0
349,1
350,0
351,0
352,0
353,1
354,0
355,1
356,1
357,0
358,1
359,0
360,0
361,0
362,0
363,0
364,0
365,0
366,0
367,0
368,1
369,0
370,1
371,0
372,0
373,1
374,1
375,1
376,0
377,0
378,0
379,0
380,0
381,1
382,0
383,0
384,0
385,0
386,0
387,0
388,0
389,0
390,0
391,0
392,0
393,1
394,1
395,0
396,0
397,1
398,1
399,0
400,0
401,0
402,0
403,1
404,0
405,0
406,0
407,1
408,1
409,0
410,1
411,1
412,0
413,1
414,0
415,0
416,1
417,0
418,0
419,0
420,0
421,0
422,0
423,1
424,0
425,1
426,0
427,0
428,0
429,0
430,0
431,0
432,0
433,1
434,0
435,1
436,1
437,0
438,1
439,0
440,1
441,0
442,1
443,1
444,1
445,0
446,0
447,0
448,1
449,0
450,0
451,0
452,0
453,1
454,0
455,0
456,1
457,1
458,1
459,0
460,0
461,1
462,0
463,0
464,1
465,0
466,1
467,0
468,0
469,0
470,1
471,1
472,0
473,0
474,0
475,1
476,1
477,0
478,0
479,1
480,0
481,0
482,0
483,0
484,0
485,0
486,0
487,0
488,0
489,1
490,0
491,0
492,1
493,1
494,1
495,0
496,1
497,0
498,0
499,1
500,0
501,0
502,0
503,0
504,0
505,0
506,0
507,0
508,1
509,0
510,0
511,0
512,0
513,0
514,1
515,0
516,0
517,1
518,1
519,0
520,1
521,0
522,0
523,0
524,0
525,0
526,1
527,0
528,0
529,0
530,0
531,1
532,0
533,0
534,1
535,1
536,0
537,0
538,1
539,1
540,1
541,1
542,0
543,0
544,0
545,0
546,1
547,0
548,0
549,0
550,0
551,0
552,1
553,0
554,0
555,0
556,0
557,0
558,0
559,0
560,0
561,0
562,0
563,0
564,1
565,0
566,1
567,0
568,0
569,0
570,0
571,1
572,0
573,0
574,0
575,0
576,0
577,1
578,0
579,1
580,0
581,0
582,0
583,0
584,1
585,0
586,0
587,0
588,1
589,0
590,0
591,1
592,0
593,0
594,1
595,1
596,0
597,0
598,0
599,0
600,1
601,0
602,0
603,1
604,0
605,1
606,1
607,0
608,0
609,1
610,1
611,0
612,0
613,0
614,0
615,0
616,0
617,1
618,1
619,0
620,0
621,1
622,1
623,0
624,1
625,1
626,0
627,1
628,0
629,0
630,0
631,1
632,1
633,0
634,1
635,1
636,0
637,0
638,0
639,0
640,0
641,1
642,0
643,0
644,1
645,1
646,0
647,0
648,0
649,1
650,0
651,0
652,0
653,0
654,1
655,1
656,1
657,1
658,1
659,0
660,0
661,0
662,0
663,0
664,0
665,1
666,1
667,1
668,0
669,1
670,0
671,0
672,1
673,0
674,1
675,0
676,0
677,1
678,1
679,0
680,0
681,1
682,1
683,0
684,1
685,0
686,0
687,0
688,0
689,0
690,0
691,1
692,1
693,1
694,0
695,0
696,0
697,0
698,0
699,0
700,1
701,0
702,0
703,1
704,0
705,0
706,1
707,0
708,1
709,0
710,1
711,0
712,0
713,1
714,0
715,0
716,1
717,0
718,0
719,0
720,0
721,1
722,0
723,0
724,0
725,0
726,1
727,1
728,1
729,0
730,1
731,0
732,0
733,1
734,0
735,1
736,0
737,0
738,0
739,0
740,0
741,0
742,0
743,0
744,1
745,0
746,1
747,0
748,1
749,0
750,0
751,0
752,1
753,1
754,0
755,0
756,0
757,0
758,1
759,1
760,1
761,0
762,0
763,0
764,0
765,0
766,1
767,0
768,0
769,0
770,1
771,0
772,0
773,0
774,1
775,0
776,0
777,0
778,1
779,0
780,0
781,0
782,0
783,1
784,0
785,0
786,0
787,1
788,1
789,0
790,0
791,0
792,0
793,0
794,0
795,0
796,1
797,0
798,1
799,1
800,1
801,0
802,0
803,0
804,0
805,0
806,0
807,0
808,1
809,1
810,0
811,0
